|	Token	|	Tipo de Token		|	#Linea (ocurrencias en linea) 
|	AND	|	Palabra_Reservada	|	6(1)
|	ARRAY	|	Palabra_Reservada	|	6(1)
|	BEGIN	|	Palabra_Reservada	|	7(1)
|	BOOLEAN	|	Palabra_Reservada	|	7(1)
|	BYTE	|	Palabra_Reservada	|	7(1)
|	CASE	|	Palabra_Reservada	|	8(1)
|	CHAR	|	Palabra_Reservada	|	8(1)
|	CONST	|	Palabra_Reservada	|	8(1)
|	DIV	|	Palabra_Reservada	|	9(1)
|	DO	|	Palabra_Reservada	|	9(1)
|	DOWNTO	|	Palabra_Reservada	|	9(1)
|	ELSE	|	Palabra_Reservada	|	10(1)
|	END	|	Palabra_Reservada	|	10(1)
|	FALSE	|	Palabra_Reservada	|	11(1)
|	FILE	|	Palabra_Reservada	|	11(1)
|	FOR	|	Palabra_Reservada	|	11(1)
|	FORWARD	|	Palabra_Reservada	|	11(1)
|	FUNCTION	|	Palabra_Reservada	|	11(1)
|	GOTO	|	Palabra_Reservada	|	12(1)
|	IF	|	Palabra_Reservada	|	13(1)
|	IN	|	Palabra_Reservada	|	13(1)
|	INLINE	|	Palabra_Reservada	|	13(1)
|	INT	|	Palabra_Reservada	|	13(1)
|	LABEL	|	Palabra_Reservada	|	14(1)
|	LONGINT	|	Palabra_Reservada	|	14(1)
|	MOD	|	Palabra_Reservada	|	15(1)
|	NIL	|	Palabra_Reservada	|	16(1)
|	NOT	|	Palabra_Reservada	|	16(1)
|	OF	|	Palabra_Reservada	|	17(1)
|	OR	|	Palabra_Reservada	|	17(1)
|	PACKED	|	Palabra_Reservada	|	18(1)
|	PROCEDURE	|	Palabra_Reservada	|	18(1)
|	PROGRAM	|	Palabra_Reservada	|	18(1)
|	READ	|	Palabra_Reservada	|	19(1)
|	REAL	|	Palabra_Reservada	|	19(1)
|	RECORD	|	Palabra_Reservada	|	19(1)
|	REPEAT	|	Palabra_Reservada	|	19(1)
|	SET	|	Palabra_Reservada	|	20(1)
|	SHORTINT	|	Palabra_Reservada	|	20(1)
|	STRING	|	Palabra_Reservada	|	20(1)
|	THEN	|	Palabra_Reservada	|	21(1)
|	TO	|	Palabra_Reservada	|	21(1)
|	TRUE	|	Palabra_Reservada	|	21(1)
|	TYPE	|	Palabra_Reservada	|	21(1)
|	UNTIL	|	Palabra_Reservada	|	22(1)
|	VAR	|	Palabra_Reservada	|	23(1)
|	WHILE	|	Palabra_Reservada	|	24(1)
|	WITH	|	Palabra_Reservada	|	24(1)
|	WRITE	|	Palabra_Reservada	|	24(1)
|	XOR	|	Palabra_Reservada	|	24(1)
|	,	|	Operador		|	30(1)
|	;	|	Operador		|	30(1)
|	++	|	Operador		|	31(1)
|	--	|	Operador		|	31(1)
|	>=	|	Operador		|	31(1)
|	>	|	Operador		|	31(1)
|	<=	|	Operador		|	31(1)
|	<	|	Operador		|	31(1)
|	<>	|	Operador		|	31(1)
|	=	|	Operador		|	31(1)
|	+	|	Operador		|	32(1)
|	-	|	Operador		|	32(1)
|	*	|	Operador		|	32(1)
|	/	|	Operador		|	32(1)
|	(	|	Operador		|	33(1)
|	)	|	Operador		|	33(1)
|	[	|	Operador		|	33(1)
|	]	|	Operador		|	33(1)
|	:=	|	Operador		|	34(1)
|	.	|	Operador		|	34(1)
|	:	|	Operador		|	34(1)
|	+=	|	Operador		|	34(1)
|	-=	|	Operador		|	34(1)
|	*=	|	Operador		|	34(1)
|	/=	|	Operador		|	34(1)
|	>>	|	Operador		|	35(1)
|	<<	|	Operador		|	35(1)
|	<<=	|	Operador		|	35(1)
|	>>=	|	Operador		|	35(1)
|	2	|	Literal_Numerica_Entera|	39(1)
|	1.2	|	Literal_Numerica_Flotante|	40(1)
|	e	|	Identificador		|	40(1)
|	1.2E0	|	Literal_Numerica_Real|	41(1)
|	tambien	|	Identificador		|	45(1)
|	es	|	Identificador		|	45(1)
|	de	|	Identificador		|	45(1)
|	boloque	|	Identificador		|	45(1)
